Item 1 with tid,Item 2 with tid,Correlation coefficient,Type of correlation
1,2,0.100000,Positive correlation
1,3,0.200000,Positive correlation
1,4,0.160000,Positive correlation
1,5,0.150000,Positive correlation
1,6,0.166667,Positive correlation
1,7,0.200000,Positive correlation
1,8,0.200000,Positive correlation
1,9,0.133333,Positive correlation
1,10,0.100000,Positive correlation
2,3,0.166667,Positive correlation
2,4,0.200000,Positive correlation
2,5,0.250000,Positive correlation
2,6,0.166667,Positive correlation
2,7,0.000000,No relationship between entities
2,8,0.000000,No relationship between entities
2,9,0.166667,Positive correlation
2,10,0.125000,Positive correlation
3,4,0.133333,Positive correlation
3,5,0.166667,Positive correlation
3,6,0.166667,Positive correlation
3,7,0.166667,Positive correlation
3,8,0.222222,Positive correlation
3,9,0.222222,Positive correlation
3,10,0.000000,No relationship between entities
4,5,0.150000,Positive correlation
4,6,0.166667,Positive correlation
4,7,0.200000,Positive correlation
4,8,0.133333,Positive correlation
4,9,0.133333,Positive correlation
4,10,0.150000,Positive correlation
5,6,0.166667,Positive correlation
5,7,0.000000,No relationship between entities
5,8,0.166667,Positive correlation
5,9,0.166667,Positive correlation
5,10,0.125000,Positive correlation
6,7,0.166667,Positive correlation
6,8,0.166667,Positive correlation
6,9,0.166667,Positive correlation
6,10,0.125000,Positive correlation
7,8,0.166667,Positive correlation
7,9,0.166667,Positive correlation
7,10,0.125000,Positive correlation
8,9,0.222222,Positive correlation
8,10,0.083333,Positive correlation
9,10,0.083333,Positive correlation
